»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-03-30,'600285,¡Á»Ò÷∆“©,9.78,9.9,9.64,9.64,9.63,0.15,1.5576,1.5619,8362898,81925386.0,5792897795.64,5236550524.92
2018-03-29,'600285,¡Á»Ò÷∆“©,9.63,9.71,9.53,9.65,9.67,-0.04,-0.4137,1.3012,6966970,66919114.0,5704049669.94,5156235332.82
2018-03-28,'600285,¡Á»Ò÷∆“©,9.67,9.96,9.63,9.77,9.82,-0.15,-1.5275,1.3674,7321316,71496431.0,5727742503.46,5177652717.38
2018-03-27,'600285,¡Á»Ò÷∆“©,9.82,9.98,9.41,9.49,9.41,0.41,4.3571,1.8268,9781496,95482261.0,5816590629.16,5257967909.48
2018-03-26,'600285,¡Á»Ò÷∆“©,9.41,9.5,9.13,9.17,9.18,0.23,2.5054,0.9804,5249381,49154300.0,5573739085.58,5038439717.74
2018-03-23,'600285,¡Á»Ò÷∆“©,9.18,9.61,9.09,9.18,9.62,-0.44,-4.5738,1.9754,10577028,99398560.0,5437505292.84,4915289756.52
2018-03-22,'600285,¡Á»Ò÷∆“©,9.62,9.8,9.54,9.76,9.79,-0.17,-1.7365,1.0679,5717892,55129639.0,5698126461.56,5150880986.68
2018-03-21,'600285,¡Á»Ò÷∆“©,9.79,9.92,9.67,9.87,9.91,-0.12,-1.2109,2.3478,12570983,123147783.0,5798821004.02,5241904871.06
2018-03-20,'600285,¡Á»Ò÷∆“©,9.91,9.96,9.33,9.36,9.39,0.52,5.5378,3.4446,18443404,178476373.0,5869899504.58,5306157024.74
2018-03-19,'600285,¡Á»Ò÷∆“©,9.39,9.62,9.35,9.5,9.52,-0.13,-1.3655,0.8871,4749947,44967875.0,5561892668.82,5027731025.46
2018-03-16,'600285,¡Á»Ò÷∆“©,9.52,9.57,9.43,9.49,9.5,0.02,0.2105,0.6034,3230958,30735655.0,5638894377.76,5097337525.28
2018-03-15,'600285,¡Á»Ò÷∆“©,9.5,9.58,9.4,9.47,9.48,0.02,0.211,0.6862,3674256,34896314.0,5627047961.0,5086628833.0
2018-03-14,'600285,¡Á»Ò÷∆“©,9.48,9.61,9.34,9.5,9.51,-0.03,-0.3155,1.5253,8167115,77390486.0,5615201544.24,5075920140.72
2018-03-13,'600285,¡Á»Ò÷∆“©,9.51,9.76,9.48,9.74,9.75,-0.24,-2.4615,1.9272,10318991,98644158.0,5632971169.38,5091983179.14
2018-03-12,'600285,¡Á»Ò÷∆“©,9.75,9.86,9.61,9.79,9.79,-0.04,-0.4086,1.621,8679362,84421151.0,5775128170.5,5220487486.5
2018-03-09,'600285,¡Á»Ò÷∆“©,9.79,9.83,9.61,9.76,9.76,0.03,0.3074,1.5385,8237654,80086243.0,5798821004.02,5241904871.06
2018-03-08,'600285,¡Á»Ò÷∆“©,9.76,9.88,9.27,9.31,9.33,0.43,4.6088,2.8765,15401668,149237471.0,5781051378.88,5225841832.64
2018-03-07,'600285,¡Á»Ò÷∆“©,9.33,9.45,8.95,9.03,9.06,0.27,2.9801,2.2636,12120365,112646302.0,5526353418.54,4995604948.62
2018-03-06,'600285,¡Á»Ò÷∆“©,9.06,9.06,8.75,8.78,8.77,0.29,3.3067,2.1382,11448808,101437373.0,5366426792.28,4851037602.84
2018-03-05,'600285,¡Á»Ò÷∆“©,8.77,8.92,8.76,8.84,8.84,-0.07,-0.7919,0.8151,4364200,38488008.0,5194653749.26,4695761564.78
2018-03-02,'600285,¡Á»Ò÷∆“©,8.84,8.93,8.79,8.93,8.95,-0.11,-1.2291,0.6363,3407005,30087109.0,5236116207.92,4733241987.76
2018-03-01,'600285,¡Á»Ò÷∆“©,8.95,9.02,8.88,8.9,8.98,-0.03,-0.3341,0.8653,4633068,41451657.0,5301271500.1,4792139795.3
2018-02-28,'600285,¡Á»Ò÷∆“©,8.98,9.05,8.85,8.91,8.96,0.02,0.2232,0.835,4470625,40144266.0,5319041125.24,4808202833.72
