ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-03-30,'600316,ºé¶¼º½¿Õ,13.6,13.75,13.37,13.43,13.38,0.22,1.6442,1.9512,13992165,190241530.0,9752757363.2,9752757363.2
2018-03-29,'600316,ºé¶¼º½¿Õ,13.38,13.57,13.24,13.33,13.32,0.06,0.4505,1.7218,12347202,165611926.0,9594992170.56,9594992170.56
2018-03-28,'600316,ºé¶¼º½¿Õ,13.32,13.8,13.3,13.77,13.99,-0.67,-4.7891,3.0136,21610776,292627198.0,9551965299.84,9551965299.84
2018-03-27,'600316,ºé¶¼º½¿Õ,13.99,14.07,13.78,14.0,14.19,-0.2,-1.4094,4.0727,29206261,406278948.0,10032432022.9,10032432022.9
2018-03-26,'600316,ºé¶¼º½¿Õ,14.19,14.27,13.49,13.54,13.87,0.32,2.3071,4.3899,31480625,436878586.0,10175854925.3,10175854925.3
2018-03-23,'600316,ºé¶¼º½¿Õ,13.87,14.32,12.86,13.02,13.48,0.39,2.8932,5.3075,38060514,518780467.0,9946378281.44,9946378281.44
2018-03-22,'600316,ºé¶¼º½¿Õ,13.48,13.88,12.66,12.83,13.02,0.46,3.533,3.6166,25934897,344693925.0,9666703621.76,9666703621.76
2018-03-21,'600316,ºé¶¼º½¿Õ,13.02,13.25,12.43,12.56,12.56,0.46,3.6624,3.3469,24000931,309360647.0,9336830946.24,9336830946.24
2018-03-20,'600316,ºé¶¼º½¿Õ,12.56,13.29,11.84,12.1,12.08,0.48,3.9735,2.2963,16467345,207479150.0,9006958270.72,9006958270.72
2018-03-19,'600316,ºé¶¼º½¿Õ,12.08,12.27,11.99,12.06,11.95,0.13,1.0879,0.8602,6168477,74869653.0,8662743304.96,8662743304.96
2018-03-16,'600316,ºé¶¼º½¿Õ,11.95,12.13,11.92,12.01,11.96,-0.01,-0.0836,0.5415,3883311,46703571.0,8569518418.4,8569518418.4
2018-03-15,'600316,ºé¶¼º½¿Õ,11.96,12.22,11.86,11.9,11.97,-0.01,-0.0835,0.8416,6034897,72532851.0,8576689563.52,8576689563.52
2018-03-14,'600316,ºé¶¼º½¿Õ,11.97,12.34,11.91,12.27,12.38,-0.41,-3.3118,1.2202,8750287,105502773.0,8583860708.64,8583860708.64
2018-03-13,'600316,ºé¶¼º½¿Õ,12.38,12.8,12.33,12.7,12.64,-0.26,-2.057,1.0045,7203313,90435950.0,8877877658.56,8877877658.56
2018-03-12,'600316,ºé¶¼º½¿Õ,12.64,12.65,12.15,12.15,12.14,0.5,4.1186,1.3885,9957126,124279852.0,9064327431.68,9064327431.68
2018-03-09,'600316,ºé¶¼º½¿Õ,12.14,12.28,11.8,11.81,11.81,0.33,2.7942,1.3812,9904874,119398086.0,8705770175.68,8705770175.68
2018-03-08,'600316,ºé¶¼º½¿Õ,11.81,11.98,11.73,11.8,11.83,-0.02,-0.1691,0.7914,5675034,67122542.0,8469122386.72,8469122386.72
2018-03-07,'600316,ºé¶¼º½¿Õ,11.83,12.1,11.82,12.1,12.13,-0.3,-2.4732,0.7517,5390411,64266344.0,8483464676.96,8483464676.96
2018-03-06,'600316,ºé¶¼º½¿Õ,12.13,12.15,11.8,11.94,11.98,0.15,1.2521,1.2497,8961597,107830288.0,8698599030.56,8698599030.56
2018-03-05,'600316,ºé¶¼º½¿Õ,11.98,12.33,11.75,12.19,12.06,-0.08,-0.6633,1.0461,7501864,89509586.0,8591031853.76,8591031853.76
2018-03-02,'600316,ºé¶¼º½¿Õ,12.06,12.23,11.83,11.91,12.0,0.06,0.5,0.8864,6356327,76735183.0,8648401014.72,8648401014.72
2018-03-01,'600316,ºé¶¼º½¿Õ,12.0,12.13,11.45,11.45,11.71,0.29,2.4765,1.2709,9114002,108653741.0,8605374144.0,8605374144.0
2018-02-28,'600316,ºé¶¼º½¿Õ,11.71,12.19,11.37,11.68,11.87,-0.16,-1.3479,1.3508,9686780,114485836.0,8397410935.52,8397410935.52
2018-02-27,'600316,ºé¶¼º½¿Õ,11.87,12.27,11.33,11.48,11.41,0.46,4.0316,1.665,11940128,141072777.0,8512149257.44,8512149257.44
2018-02-26,'600316,ºé¶¼º½¿Õ,11.41,11.46,11.02,11.02,10.99,0.42,3.8217,0.8689,6230941,70305482.0,8182276581.92,8182276581.92
2018-02-23,'600316,ºé¶¼º½¿Õ,10.99,11.18,10.83,10.89,10.89,0.1,0.9183,0.5596,4013062,44119229.0,7881088486.88,7881088486.88
2018-02-22,'600316,ºé¶¼º½¿Õ,10.89,10.95,10.75,10.91,10.73,0.16,1.4911,0.4148,2974277,32305243.0,7809377035.68,7809377035.68
2018-02-14,'600316,ºé¶¼º½¿Õ,10.73,10.82,10.53,10.62,10.62,0.11,1.0358,0.3772,2704746,28929987.0,7694638713.76,7694638713.76
2018-02-13,'600316,ºé¶¼º½¿Õ,10.62,10.98,10.61,10.67,10.62,0.0,0.0,0.7193,5158029,55650131.0,7615756117.44,7615756117.44
2018-02-12,'600316,ºé¶¼º½¿Õ,10.62,10.65,10.39,10.39,10.33,0.29,2.8074,0.4239,3039714,32073218.0,7615756117.44,7615756117.44
2018-02-09,'600316,ºé¶¼º½¿Õ,10.33,10.65,10.09,10.49,10.8,-0.47,-4.3519,0.9474,6794108,70400445.0,7407792908.96,7407792908.96
2018-02-08,'600316,ºé¶¼º½¿Õ,10.8,10.95,10.6,10.61,10.63,0.17,1.5992,0.6235,4471097,48333938.0,7744836729.6,7744836729.6
2018-02-07,'600316,ºé¶¼º½¿Õ,10.63,11.3,10.25,11.18,10.96,-0.33,-3.0109,1.3055,9361758,100326604.0,7622927262.56,7622927262.56
2018-02-06,'600316,ºé¶¼º½¿Õ,10.96,12.05,10.96,11.6,12.18,-1.22,-10.0164,1.1105,7963222,91098467.0,7859575051.52,7859575051.52
2018-02-05,'600316,ºé¶¼º½¿Õ,12.18,12.22,11.89,11.99,12.24,-0.06,-0.4902,0.328,2352335,28517602.0,8734454756.16,8734454756.16
